point_1,point_2,point3
0.004913766,0.004913766,0.004913766
-0.01995668,-0.01995668,-0.01995668
0.014546007,0.014546007,0.014546007
-0.001963654,-0.001963654,-0.001963654
-0.029088044,-0.029088044,-0.029088044
-0.009322686,-0.009322686,-0.009322686
-0.007839321,-0.007839321,-0.007839321
0.008419902,0.008419902,0.008419902
0.000791167,0.000791167,0.000791167
0.009286804,0.009286804,0.009286804
-0.019764035,-0.019764035,-0.019764035
0.008381373,0.008381373,0.008381373
-0.009611653,-0.009611653,0.00581129
-0.04058894,-0.04058894,0.005254207
0.019342864,0.019342864,0.000797548
-0.012539854,-0.012539854,-0.006574508
-0.023693989,-0.023693989,-0.003250583
0.005010089,0.005010089,0.018809879
-0.007781527,-0.007781527,0.00326728
-0.007974172,-0.007974172,-0.001170809
-0.017028479,-0.017028479,-0.017437615
0.022174742,0.022174742,0.027444655
0.000155439,0.000155439,0.012626264
-0.019475068,-0.019475068,-0.026573766
0.005433907,0.015923851,0.019756919
-0.005778021,0.007991108,-0.023416965
0.02169313,0.00108317,-0.002043572
0.028532021,0.004081671,-0.015209285
-0.006914626,-0.014364802,0.019571224
0.002043359,0.003664158,-0.017493323
0.016799952,-0.002978091,0.003564391
0.026971598,0.017480035,-0.012999525
-0.016026726,0.031371823,-0.00620312
-0.017413768,-0.017420237,-0.002953473
-0.006298162,-0.008367801,-0.001932155
0.012715882,-0.013377954,-0.000149492
0.000155439,0.013646508,-0.008505727
-0.009996943,0.015354515,-0.024828241
-0.02275003,0.008693289,-0.012665276
-0.001250868,0.001234993,0.001874574
0.000271026,-0.002048176,0.005737012
0.038992635,-0.009126915,-0.019963055
-0.010940902,-0.002408755,-0.008487158
-0.000827049,-0.00104235,0.007649662
0.022675619,-0.001725552,0.002933031
-0.030475087,-0.005653968,0.004604278
-0.0197833,0.003094822,0.00547704
0.004528477,-0.003585382,0.006962593
0.014892768,0.00470794,0.027407517
-0.00972724,0.038033049,-0.014187967
-0.002021447,0.014329711,0.016711535
0.001812185,0.002032063,0.001131798
0.015682612,0.013779353,-0.007410132
0.003796426,-0.010512298,-5.66E-05
-0.009977678,0.013779353,-0.00050231
-0.022133566,-0.000871549,-0.007670104
0.009595036,-0.005578056,-0.004996108
-0.010478555,-0.020760339,0.011920627
0.009190481,0.017385145,-0.008245755
0.001369102,-0.004097784,0.002617351
-0.007415502,0.032074004,0.015801634
-0.01140325,-0.009772162,-0.015636382
-0.008340197,-0.015010049,-0.005534621
-0.007088006,0.009110802,-0.014707911
-0.012154565,-0.00793131,0.017918547
-0.007588882,-0.009905007,-0.001059393
-0.035329737,-0.011138567,0.016358716
0.016819216,0.005922522,0.00107609
0.000694845,-0.022563235,0.005142791
-0.012886615,0.005087497,-0.007892937
-0.002214092,0.000191211,-0.000613727
-0.005546847,-0.002959113,0.022078095
-0.010093265,0.010780853,-0.006463092
0.028300848,-0.011309368,-0.017511892
0.005819197,-0.007817443,-0.018347516
-0.00469921,-0.010512298,0.022319498
-0.019532861,0.042910358,0.015393107
-0.025119561,-0.007001395,0.013870415
0.005780668,0.015544294,-0.007317285
-0.011750011,-0.027117919,0.007742509
0.002621293,0.039551278,0.008559563
0.0131397,-0.003148891,-0.002972042
0.014218511,0.001994107,-0.005924579
0.010519731,0.009756049,0.004734264
0.018745665,-0.005653968,-0.004141915
0.010018854,0.002070018,-0.009155657
-0.024291188,-0.031331003,0.007241135
-0.007531089,0.004423272,0.001837436
-0.018010967,0.001102148,-0.003733388
-0.015545114,0.005296253,0.002524504
0.024987357,-0.011707903,-0.003269153
0.012388385,-3.65E-05,0.021576721
0.002505706,0.018523817,-0.011699666
0.005857726,-0.005236455,0.006201247
0.009864738,-0.009582383,-0.00969417
0.003623046,0.005808655,-0.035858472
0.029495246,0.015430427,-0.005218941
-0.000827049,-0.008007222,0.002895892
0.014950562,0.006567769,-0.001913586
0.015162471,-0.006242281,-0.019833069
-0.004968913,-0.008538601,0.020165446
-0.001462777,-0.010037852,-0.00780009
0.024833241,0.023590903,-0.032367422
0.026990863,0.02140845,0.010082255
0.004952295,-0.004534275,-0.001802169
0.019227277,-0.002712401,-0.003807666
0.016626572,-0.00766562,0.022765163
-0.010921638,-0.018255262,-0.010455515
0.008516225,-0.01747717,0.019849766
0.001157192,-0.003319692,0.010100824
0.013313081,0.010989609,0.001001812
-0.004448772,-0.007248107,-0.001653614
0.001831449,0.005903545,0.001243214
0.000733374,0.000267122,-0.012256748
-0.019821829,-0.009753184,0.011252128
-0.00487259,-0.034974751,-0.007558687
-0.004853326,0.009319558,-0.017214782
-0.000923372,0.015696117,0.015337398
-0.015930403,0.018827462,-0.022971299
0.017512738,-0.010170697,-0.011532541
0.016838481,-0.016585211,0.016470133
-0.004390978,-0.01358671,-0.019758791
0.006917273,-0.040687084,0.00612697
-0.02795144,0.010249473,0.020908222
-0.011518837,-0.00996194,0.020369709
-0.015429527,0.007250972,-3.81E-05
0.017878763,-0.018445041,-0.007521548
0.000906754,0.022509166,0.01749145
0.030978611,-0.005578056,0.011066434
0.014757917,-0.018388107,-9.36E-07
0.004624799,0.016910699,0.010732184
1.232119068,1.381854809,1.478848503
1.399874178,2.284156823,1.937290158
1.490340186,2.545614702,2.183316304
1.505116044,2.632438378,2.23588631
1.495291158,2.588163048,2.23748328
1.511280678,2.642705397,2.249367704
1.467165014,2.602700083,2.243852588
1.530217664,2.611164205,2.271465305
1.504904134,2.679996878,2.253155864
1.502419016,2.722260556,2.30542876
1.490552095,2.80893241,2.304333165
1.478511794,2.909078539,2.354600564
1.55414415,3.012564771,2.415879625
1.545629249,3.172794782,2.490380108
1.579573267,3.264249055,2.553348986
1.517541634,3.435619067,2.611396969
1.555762367,3.641927305,2.717836841
1.602093446,3.818326447,2.826096516
1.600783461,4.036571755,2.929286741
1.62519156,4.209858529,3.093867444
1.681520906,4.391856138,3.219489519
1.70964705,4.576681447,3.352966456
1.693021802,4.771432173,3.49790072
1.775878339,4.900595439,3.678209715
1.801037753,5.091873218,3.85283647
1.848158676,5.21718398,3.96219174
1.898785735,5.400472083,4.199508831
1.942766547,5.526485026,4.325038059
1.988153667,5.624429724,4.478347129
2.024158984,5.751619294,4.636985619
2.059798276,5.877366547,4.791965936
2.093761558,5.969029576,4.92520147
2.12974761,6.059667802,5.085084112
2.213047231,6.123945789,5.168962148
2.27983719,6.229975053,5.294249974
2.291453673,6.292715835,5.417996538
2.348919623,6.351262511,5.52477066
2.418541461,6.416261657,5.603282136
2.428867223,6.47173392,5.704689697
2.477278867,6.529749217,5.789087677
2.505828829,6.558310885,5.827916318
2.565336814,6.600840253,5.912797103
2.615424468,6.661759161,5.959703439
2.642818561,6.654073131,6.063209344
2.713037599,6.677188155,6.07880765
2.759561323,6.730743656,6.144896189
2.782139296,6.77384236,6.183130609
2.819416069,6.76253156,6.21059477
2.884645605,6.798001167,6.285800891
2.887381161,6.825082563,6.310312515
2.949721025,6.830377384,6.334304196
2.999269273,6.824873806,6.368026249
3.014854239,6.874728626,6.386057149
3.050647647,6.873058575,6.409138929
3.063920875,6.880403004,6.435823174
3.119768609,6.899570635,6.498494941
3.166080423,6.889778063,6.477622922
3.191991152,6.889948864,6.524919215
3.20376175,6.916005456,6.524213578
3.234045516,6.894693327,6.519682641
3.259551691,6.912190907,6.520741097
3.258049061,6.91543612,6.536840778
3.290432655,6.918928045,6.568538765
3.316478235,6.919725115,6.568223085
3.341830293,6.933692814,6.566329005
3.360670957,6.927449101,6.588148065
3.388488869,6.924830157,6.592437599
3.399585211,6.933882593,6.591731961
3.419639537,6.938437278,6.631637629
3.445492471,6.90173411,6.575836544
3.449904038,6.917239016,6.604154898
3.4749286,6.90492239,6.642853554
3.481613375,6.90492239,6.61041279
3.499105525,6.941321911,6.581407368
3.521722027,6.89325101,6.59557583
3.51993043,6.925968828,6.612919661
3.527212404,6.884521198,6.597897006
3.546322771,6.917523684,6.604693411
3.528098571,6.914980652,6.601313778
3.573543484,6.899342901,6.589485062
3.554047828,6.907104843,6.615055143
3.567224734,6.898299119,6.623467087
3.584967322,6.896534179,6.59336607
3.621878069,6.902607091,6.563599301
3.617466503,6.832142324,6.58606829
3.594753679,6.867782732,6.590840629
3.624979651,6.870515542,6.577526361
3.601168751,6.870287808,6.556115828
3.609009395,6.845977179,6.566663254
3.628813283,6.851385867,6.589057966
3.633436759,6.839562664,6.565753353
3.610011148,6.834021131,6.610375651
3.626019933,6.827986174,6.564509203
3.689708311,6.797583654,6.574555255
3.651930661,6.826126345,6.560609626
3.652296687,6.811418509,6.540331828
3.639562864,6.788360417,6.588463745
3.633494552,6.781509412,6.522820872
3.65867323,6.820167299,6.55700716
3.656746782,6.77145115,6.53552235
3.637231862,6.767238067,6.528465973
3.669114579,6.771963552,6.510620768
3.645342209,6.738163997,6.525383451
3.624709948,6.741105564,6.510973586
3.655937674,6.75810972,6.503415836
3.695083101,6.731218102,6.509896561
3.666436816,6.732527574,6.506498358
3.618892075,6.729168494,6.476230216
3.645766027,6.691478479,6.438887127
3.63859964,6.683621647,6.467818272
3.637771267,6.684855208,6.460019119
3.65403049,6.705939602,6.450548718
3.658384263,6.674113743,6.455506751
3.66370126,6.664586861,6.448208972
3.63989036,6.654946112,6.449638817
3.649503337,6.642781308,6.41129298
3.653664465,6.654509621,6.411218703
3.631105756,6.629990235,6.405499324
3.662545391,6.604920492,6.393224942
3.6480585,6.615889691,6.384497318
3.637520829,6.596304547,6.40468227
3.636808043,6.591408261,6.375639708
3.638753756,6.597841753,6.358054475
3.623188054,6.59529872,6.37021744
3.639601393,6.568862571,6.338965119
3.619970886,6.543470204,6.336811067
3.611282604,6.547721243,6.33164877
3.648289674,6.547227819,6.342381891
3.63077826,6.512460393,6.320692817
3.603095199,6.520696781,6.324462408
3.629063721,6.489535146,6.282402688
3.595293084,6.502838621,6.284222491
3.62966092,6.470652183,6.285132392
3.61496212,6.459303427,6.259729436
3.595697638,6.455735591,6.248903468
3.607429708,6.461903393,6.25202313
3.562119646,6.446512354,6.220659392
3.575758899,6.43744094,6.243388353
3.583907775,6.466268299,6.240045859
